message,label
Can you help me find such plots? Thanks. Randall Schulz,0
go to as posted in this thread. then click on a particular brand and select a unit. d.,0
"Patrick Shanahan wrote: man screen C-a d C-a C-d (detach) Detach screen from this terminal. If you like the extra keystoke, it's up to you. ctrl-a h is hardcopy not help, in screen, the help is ctrl-a ? -- David C. Rankin, J.D., P.E. Rankin Law Firm, PLLC 510 Ochiltree Street Nacogdoches, Texas 75961 Telephone: (936) 715-9333 Facsimile: (936) 715-9339 www.rankinlawfirm.com",0
"correction, need to click on the right columb, the number of ps per brand, then you get the listing!",0
"Trade Me Offer RequestGenerated 8 December, 6:27 AM Security Note: Trade Me will never ask you for your password via email Hi Tony, A Trade Me member is interested in purchasing your expired auction Armchair: Old & worn, but very comfy (#129227503) Offer this item at a fixed priceAdvertisement",0
"Randall R Schulz wrote: I really wonder why you first cut out my links and comments while trying to show you were right, then ask for them again ? You were much more magnanimous in other contributions, which i tagged because i especially liked them :-)",0
James Knott wrote: What are you afraid of?,0
"Doug McGarrett wrote: See my response in opensuse offtopic under Subject XP Pro/Home Edition. Ciao -- If you want to know what a man is like, take a look at how he treats his inferiors not his equals.",0
"Sudhir wrote: vb allows you to specify ""Shared Folders"". Just open vb, select the guest os you want to specify a shared folder for and then click on the ""Shared Folders"" and then chose the folder you want to share between the host and guest os. I have a little network that has plenty of samba shares available so I just use a folder on a samba share. Works great both from linux and the guest os XP. I was amazed that the guest XP networking was 100% functional from within vb. No configuration required on that end. Just use windows explorer and with folder view and pick ""my networks"" ""entire network"" ""windows networks"" the just pick your ""workgroup"" expand it and all your computers are there! -- David C. Rankin, J.D., P.E. Rankin Law Firm, PLLC 510 Ochiltree Street Nacogdoches, Texas 75961 Telephone: (936) 715-9333 Facsimile: (936) 715-9339 www.rankinlawfirm.com",0
"Carl Spitzer wrote: good thought. Thanks for the suggestion. -- David C. Rankin, J.D., P.E. Rankin Law Firm, PLLC 510 Ochiltree Street Nacogdoches, Texas 75961 Telephone: (936) 715-9333 Facsimile: (936) 715-9339 www.rankinlawfirm.com",0
He is afraid his h4xx0r software downloaded from pirate bay will fail the genuine advantage test. :P,0
Update of /cvsroot/spambayes/website/sigs In directory sc8-pr-cvs8.sourceforge.net:/tmp/cvs-serv27037 Added Files: sb11a4.zip.asc spambayes-1.1a4.tar.gz.asc Log Message: 1.1a4 sigs --- NEW FILE: sb11a4.zip.asc --- -----BEGIN PGP SIGNATURE----- Version: GnuPG v1.4.1 (Darwin) iD8DBQBGgCiM3WE5XNCqNv4RAlRfAJsFSLY/3Nra2346bSWD/G28CSY/CQCgmHOx auQYWiLiTcuBSqdktMjq+sg= =xbyw -----END PGP SIGNATURE----- --- NEW FILE: spambayes-1.1a4.tar.gz.asc --- -----BEGIN PGP SIGNATURE----- Version: GnuPG v1.4.1 (Darwin) iD8DBQBGgCh+3WE5XNCqNv4RAmIsAJwKuMFBC4R4GGPu/H7sM4ziXNe2bQCdGQJf TBpkq9CD66rFBdE7tDg8OmA= =cYIy -----END PGP SIGNATURE,0
"Per Jessen wrote: Per, I will be watching because as I already posted I see the ""exact"" same instability problems with my: Gigabyte GA-N700SL 2 Gig of Ram Raid1: 2 Seagate (ST3250410AS_6RY28WW1) SATA 250G drives in Raid 1 ATA: Maxtor_5T020H2_T2H34J2 as swap I mean the *exact* same problems. Please do not forget to post any response you get from them. It also may be a kernel issue. Take a look at another bug I have open regarding this instability. The fact that it has spamassassin involved may be irrelevant. A Gigabyte,kernel issue may be the root cause: Keep the list apprised, I'm interested -- David C. Rankin, J.D., P.E. Rankin Law Firm, PLLC 510 Ochiltree Street Nacogdoches, Texas 75961 Telephone: (936) 715-9333 Facsimile: (936) 715-9339 www.rankinlawfirm.com",0
"Locate a copy of jhylafax, and install this. You will have a GUI front end for sending faxes. Note, the version that I have does not auto update the send state of the fax, and with the modem speaker turned off you will not really know if your phone line is free. BTW there is KdeprintFax (kdeprintfax -caption ""%c"" %i %m %u -- on the command line.) {snip} Mike",0
"I believe the website has been updated to reflect the 1.1a4 source release I cut today. The only sticking point was that I was unable to install the gpg signature files in htdocs/sigs because of group permission problems. I sent a note to Tony (he's the owner of that directory). If someone could add an Outlook installer that would be great. (Even greater would be if I could create an Outlook installer on my Mac, but I suppose that's not going to happen anytime soon. ;-) Skip",0
"I was correcting the previous post that seemed to say ""the rest would be turned into heat"". A 500w supply will not pull 500w if the load is only 100. Without comparing efficiency curves of two specific supplies, it is all speculative at best. BOTH supplies at ""standby"" load would likely be in a rather poor efficiency zone...but would STILL be just a small percentage of the SMALL load...and thus very close to one another. The previous post seemed also to say that the output current would be 80% of the input current...and that is not the correct way to look at the subject... Tom in NM",0
"Also, back-dated readline to the one that was on the install disk, same problem. Anybody got any suggestions>",0
"Jerry Houston wrote: I just don't trust Microsoft. Why do they have to keep ""proving"" the software on the computer is genuine? -- Use OpenOffice.org",0
"Kai Ponte wrote: Actually, that might come in handy as I could use it to convince my boss to buy me a new computer, while XP is still available. ;-) Of course that new computer would also have enough disk space for installing Linux. -- Use OpenOffice.org",0
"+1 to switching, and +1 to doing it now. This reason (diffing offline) is really the only noticeable difference for me, with the limited way that I use CVS/SVN, but it's a huge benefit (not just to be able to do it offline, but the big speed up and removal of the logging in requirement). Cheers, Tony",0
ClamAV database updated (10 Feb 2008 03-58 +0000): daily.cvd Version: 5762 Submission-ID: 2313776,0
"Bugs item #810344, was opened at 2003-09-21 19:56 Message generated for change (Comment added) made by montanaro You can respond by visiting: Please note that this message will contain a full copy of the comment thread, including the initial issue submission, for this request, not just the latest update. Category: None Status: Closed Priority: 5 Private: No Submitted By: Timothy O'Malley (thisistimo) Assigned to: Skip Montanaro (montanaro) Summary: On Mac OS X, should use 'dbm' instead of gdbm or bsddb Initial Comment: The Mac OS X download for Python 2.3 does not have the gdbm, bsddb, or bsddb3 modules. It does, however, have a 'dbm' module. The dbmstorage.py file should be updated to fallback to the dbm module if there are no gdbm, bsddb, or bsddb3 modules as a way to support Mac OS X. There is patch attached to fix this.",0
"Dear list mates, Can anyone help me on a lead sheet of Wabash Blues? If possible with the verse. And with the lyrics? I have never heard (or seen) the lyrics of the verse, so I am very curious about them. Kind regards, Vriendelijke groet, Grüße Wim Mossel Tenor guitar player of The Autoreverse Jazz Orchestra a.k.a. w.p.mossel@orange.nl",0
"Hello, I have figured out that I can shut down external usb drives with sg_start /dev/sgX -s 0 But how do I find out which device a specific path belongs to? For example, how can I find out that (currently) I need to shut down /dev/sg3 if I want to shut down the disk that is on /media/some-disk? Any hints?",0
"David C. Rankin wrote: Almost. You still need to ""sudo rm -r /var/cache/beagle"", which takes up ~60MB of disk space even after beagle was uninstalled. And kill the already running beagle processes, because uninstalling beagle does not shut down the demon. See bug #327042 [1]. Regards nordi",0
